developer,Negative,Neutral,Positive
Avalanche Studios,64,74,207
"Avalanche Studios,Feral Interactive (Mac/Linux)",8,12,31
Avidly Wild Games,2,0,1
Awesome Games Studio,10,4,39
AwesomeBlade,0,0,1
Axis Game Factory,0,0,3
Axis Game Factory LLC,0,0,4
Axolot Games,5,3,8
Axyos Games,0,2,0
BANDAI NAMCO Studio Inc.,3,1,5
BRHP,1,0,0
BS1 &amp; BSL Team,1,0,0
BUGBEAR,0,0,2
Back To Basics Gaming,1,0,1
Bacon Wrapped Games,0,0,1
"BadFly Interactive, a.s.",3,0,1
Badland Studio,0,1,4
Baggy Cat Ltd,0,0,4
Baller Industries,1,0,1
Bankroll Studios,8,6,10
Bare Mettle Entertainment,0,0,1
Basaltic studio,0,0,2
"Bat Country Games, LLC",0,0,2
Batholith Entertainment,0,0,1
"Batterystaple Games,Fire Hose Games",0,0,2
BattleGoat Studios,0,1,3
Beam Team Games,15,13,40
BeamNG,4,2,7
Beamdog,2,2,2
BeautiFun Games,0,0,1
Bedlam Games,1,0,0
Bedtime Digital Games,0,0,1
Beenox,0,1,0
Behold Studios,2,1,3
"Ben 'Yahtzee' Croshaw,Collected Worlds",1,0,0
Ben Prunty Music,0,0,1
Benjamin Bryant,0,0,1
Benjamin Rivers Inc.,2,0,2
Best Gaem Studio,0,0,1
Best Way,2,0,2
BetaDwarf,1,2,1
Bethesda Game Studios,84,78,227
Biart Company LLC,0,0,1
Big Ant Studios,0,0,7
Big Corporation,1,4,7
Big Fat Alien,2,0,2
Big Fat Simulations Inc.,0,1,1
Big Finish Games,1,0,0
"Big Huge Games,38 Studios",6,1,10
Big Robot Ltd,5,4,11
BigAnt Studios,0,0,1
Binary Fortress Software,0,0,1
"Binary Zoo,The Game Creators",2,0,4
BioWare,4,5,44
BioWare Corporation,0,0,1
"BioWare,Aspyr (Mac)",7,2,18
BitFinity,0,0,1
"BitMonster, Inc.",5,1,7
Bitbox Ltd.,10,1,15
Bithell Games,8,3,14
"Bitl,Cobalt-57",0,0,1
Bizarre Creations,0,2,2
Black Death Apps Limited,0,0,1
Black Element,1,0,1
Black Eye Games,1,1,2
Black Forest Games,1,0,0
Black Isle Studios,3,3,4
Black Jacket Studios,0,0,1
Black Lion Studios,1,0,0
Black Pants Studio,3,1,4
Black Sea Studios Ltd,0,1,1
Black Shell Games,1,0,3
BlackSpot Entertainment,0,0,1
Blackbird Interactive,0,0,3
Blackfire Games,0,0,1
Blackhole,1,0,3
Blacklight Interactive,5,6,9
Blackpowder Games,0,0,1
BlankMediaGames,12,4,18
Blazing Griffin,0,1,2
Blender Foundation,2,2,5
Blendo Games,3,1,7
Blind Sky Studios,0,0,5
BlinkWorks Media,2,1,3
Blit Software,3,6,3
Bloober Team SA,4,1,2
Blooming Buds Studio,0,0,1
Blue Bottle Games,3,1,7
Blue Byte,6,3,2
"Blue Byte,Related Designs",0,1,0
Blue Isle Studios,5,1,6
Blue Mammoth Games,12,21,48
Blue Manchu,1,2,5
Blue Tea Games,1,0,0
BlueEagle Productions,1,0,1
BlueGiant Interactive,1,0,2
BlueLine Games,1,1,3
Bluebutton Games,2,4,5
Bluehole Ginno Games,0,1,2
"Bluehole, Inc.",6,11,32
Bob the Game Development Bot,2,0,0
Bohemia Interactive,291,216,639
Bombservice,1,0,0
Boneloaf,8,5,12
Bongfish GmbH,1,0,0
"Boolat Games,Alawar Entertainment",0,0,2
Boomzap Entertainment,0,0,1
Born Ready Games,1,0,0
Born Ready Games Ltd.,1,1,7
Boss Baddie,1,0,2
Bossa Studios,40,28,50
Brace Yourself Games,7,4,7
Brain Bombers,1,0,0
Brainbox Software,0,0,1
Brainchild,1,0,0
Brainy Studio LLC,1,0,0
Brawsome,0,0,2
Breakfall,1,1,5
Brian Cronin,0,1,2
Brightrock Games,2,0,5
Brilliant Skies Ltd.,2,2,5
Broken Rules,2,1,0
Bromoco Games,0,0,1
Browny Application,0,1,0
Brytenwalda,1,4,1
"Buddy Cops, LLC",0,1,0
Bugbear,7,1,19
Bugbear Entertainment,4,2,7
Bugbyte Ltd.,1,0,0
Bulbware,0,0,1
BumpkinBrothers,0,1,1
BurstRay Games,1,0,0
Burut CT,0,1,0
Butterscotch Shenanigans,0,0,4
Bytebin,0,1,3
C3SK,0,0,4
CAPCOM,1,1,0
"CAPCOM CO., LTD.",1,0,0
"CAPCOM Co., Ltd.",13,6,8
CAT IN JAR GAMES,0,1,0
"CAVE Interactive CO.,LTD.",0,0,1
CCCP,1,0,1
CCP,4,5,6
CD PROJEKT RED,8,9,45
"CD PROJEKT RED,Can Explode",0,1,1
CI Games,2,2,3
"CI Games,Deck 13",3,0,5
"CINEMAX, s.r.o.",2,1,1
CM Softworks,0,0,1
CRASS Studios,0,0,1
"CRAZYDIAMOND CO., LTD.",1,0,3
CSR-Studios,3,3,4
Cabygon,1,0,0
Cadence Games,1,0,1
Cadenza Interactive,2,0,1
Camouflaj,0,0,1
Campo Santo,4,4,40
Camshaft Software,0,0,4
Capcom,31,25,47
Capcom Game Studio Vancouver,2,4,13
"Capcom U.S.A., Inc.",1,0,0
Capcom Vancouver,5,4,5
Cape Copenhagen,1,0,0
Capybara Games,0,0,1
"Capybara,Superbrothers,Jim Guthrie",0,1,2
Carbine Studios,0,0,7
Carbon Games,12,16,44
Cardboard Keep,0,0,1
Carlsen Games,2,0,4
Carmine T. Guida,0,1,2
Cat5Games,0,1,1
Cauldron,1,0,1
Cavedog Entertainment,1,0,4
Cellar Door Games,6,5,31
Celsius Game Studios,1,0,0
Centauri Production,2,0,0
"Chad Close,Kyle Weik",0,0,1
Chaosoft Games,1,0,0
Charyb Games,0,1,0
Chasing Carrots,1,0,0
Cherry Pop Games,3,3,4
Childish Things,1,0,1
Choice Provisions,1,0,0
Choice of Games,2,1,7
Chondrite Games,0,0,1
Chris Sawyer Productions,0,0,4
Chucklefish,56,48,240
Cipher Prime Studios,1,2,1
"Circle Five Studios,Pub Games",3,1,5
City Interactive,4,7,9
CivilSavages,0,0,1
Clapfoot,0,0,1
Clever Endeavour Games,0,1,2
ClickGames,1,0,0
Clickteam,0,0,4
Cliffhanger Productions,0,0,1
"Cliffhanger Productions,Catalyst Games Lab",0,0,1
Climax Studios,2,0,2
ClockStone,1,1,1
Cloud 9 Studio,0,0,1
"Cloudcade, Inc.",0,0,1
CoaguCo Industries,1,0,0
Cobra Mobile,0,0,2
Cockroach Inc.,0,0,1
Cococucumber,0,0,2
Code Club AB,1,0,1
CodeBrush Games,9,9,21
Codemasters,2,0,4
Codemasters Action Studio,1,0,0
Codemasters Birmingham,0,0,1
Codemasters Digital,1,1,0
"Codemasters Racing,Feral Interactive (Mac)",4,2,16
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",0,0,6
Codemasters Studios,2,0,3
"Codemasters,Feral Interactive (Linux)",3,0,2
"Codemasters,Feral Interactive (Mac)",0,0,4
Codename Entertainment Inc.,0,0,2
Code}{atch,27,8,23
Coffee Stain Studios,77,92,170
Cold Beam Games,1,4,17
Colibri Games,0,0,2
Colonthree Enterprises,1,0,0
Colossal Games,0,0,1
Colossal Order Ltd.,22,18,48
"Comcept,Inti Creates",1,0,0
ComiPo! LLP,0,2,0
Compulsion Games,0,1,7
ConcernedApe,16,26,56
Conrad Nelson,0,1,0
Convoy Games,0,0,2
Core Design,3,0,1
Coredumping,0,0,3
"Coreplay GmbH,Bigmoon Studios",1,0,1
Corrosive Studios LLC,0,0,1
Cosmic Cow LLC,3,2,2
Counterplay Games Inc.,0,0,5
Crackpot Entertainment,0,2,0
Crackshell,3,2,8
Crankshaft Games,1,0,0
Crate Entertainment,1,5,12
Crazy Moo Games,2,3,1
Crazy Viking Studios,2,1,1
"CreSpirit,GemaYue",0,0,2
Creability,6,1,6
Creat Studio,0,0,1
Creative Assembly,28,16,80
"Creative Assembly, PC Port - Hardlight",3,1,0
"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)",8,5,24
"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",17,9,25
CreativeForge Games,1,0,2
Creepy Cute,0,0,1
"Crescent Moon Games,Cinopt Studios",1,0,1
Crian Soft,1,0,0
Criterion Games,9,7,32
Critical Studio,2,3,7
Croteam,6,7,19
"Croteam,Alligator Pit",0,1,1
Crowbar Collective,4,3,17
Crows Crows Crows,3,5,13
Cryptic Sea,0,0,1
Cryptic Studios,21,19,49
Crystal Dynamics,1,1,3
"Crystal Dynamics,Feral Interactive (Mac)",0,0,1
"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",33,33,92
Crystal Shard,0,0,2
Crytek,32,18,60
Crytek Studios,0,5,14
"Curve Digital,FuturLab",0,0,1
Curve Studios,1,0,1
Cyan Worlds,0,2,0
Cyanide,0,0,2
Cyanide Montreal,1,0,1
Cyanide Studio,2,2,3
Cyanide Studio - Spiders Studios,0,0,1
Cyanide Studios,7,2,1
CyberConnect2 Co. Ltd.,9,9,22
"CyberConnect2 Co., Ltd.",1,2,9
Cyberdreams,1,0,1
Cyberlore,1,0,0
Cybertime System,1,2,4
D-Pad Studio,0,2,5
DEADFACTORY,1,0,0
DEVGRU-P,1,0,2
DICE,32,19,68
DIMPS,3,6,23
DL Softworks,4,1,2
DONTNOD Entertainment,1,0,11
"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",37,27,116
DR Studios,3,3,4
Daedalic Entertainment,5,1,9
Damaged,0,1,0
Dambuster Studios,0,0,1
"Damian Sommer,Emily Carroll",1,1,1
"Dan  Walters,Ceri Williams",2,1,1
Dan Fornace,4,1,8
Dan Walters,1,0,1
Dancing Dragon Games,0,0,2
Daniel Davies,0,3,5
Daniel Jonathan Bourke,2,3,2
Daniel Mullins Games,3,1,7
"Daniel Snd,Thiago Adamo",0,0,1
Darius Bode,0,1,0
Dark Amber Softworks,0,1,0
Dark Artz Entertainment,0,1,0
Dark Day Interactive,1,0,1
Dark Energy Digital Ltd.,2,0,2
DarkElite,1,1,1
Darklight Games,0,1,0
Data Realms,4,1,6
David Mulder,1,0,0
David OReilly,14,5,17
David Stark,1,0,2
David Szymanski,1,1,5
David Williamson,0,0,1
Dawid Bujak,0,0,1
Day 1 Studios,4,0,6
Daybreak Game Company,77,84,285
Days of Wonder,0,0,1
DeXP,1,0,0
Dead Mage,1,0,0
Dead Shark Triplepunch,2,0,4
Decent Machine,1,0,1
Deck13,0,0,1
Deck13 Hamburg,0,0,2
Deconstructeam,0,4,3
Deep Red Limited,1,0,2
Deep Silver Volition,49,55,111
"Deep Silver Volition,High Voltage Software",6,4,8
Deepred,0,0,1
Defence Alliance Team,0,1,3
Defiant Development,1,0,8
Deion Mobile,0,0,1
"Dejobaan Games, LLC",3,0,5
Dekovir Entertainment,1,2,3
Demiurge Studios,2,0,5
Dennaton Games,48,44,74
Denver Productions,0,1,1
Desert Owl Games LLC,0,1,1
Destructive Creations,1,3,1
Devespresso Games,0,0,1
Devil's Details,2,2,10
Dharker Studio,0,1,1
DiezelPower,1,3,3
Digerati Distribution,2,0,4
DiggerWorld Ltd.,1,5,1
Digital Arrow,0,0,1
Digital Confectioners,9,18,32
Digital Dawn Studios,1,0,1
Digital Extremes,100,138,376
Digital Furnace Games,1,0,0
Digital Happiness,0,0,1
Digital Leisure Inc.,3,2,0
Digital Melody,0,0,5
Digital Tentacle,1,0,0
Digitalmindsoft,10,5,18
Diminished Studios,1,0,1
Dimmdrive Inc.,0,0,1
Dingaling,5,0,4
Dingo Games,1,0,2
Dinosaur Polo Club,5,0,10
Dischan Media,0,0,4
Disney Interactive,0,0,1
DnS Development,0,0,2
Doctor Entertainment AB,10,2,17
Dodge Roll,4,3,3
Dogenzaka Lab,0,1,0
DolphinBarn,0,0,1
Dominique Grieshofer,0,0,8
Doomster Entertainment,0,0,1
DotEmu,2,1,2
Double Action Factory,10,20,22
Double Damage Games,1,1,2
"Double Eleven,Q-Games Ltd.",0,1,1
Double Fine Productions,22,10,46
Double Helix Games,0,1,1
"Double Helix Games,Capcom",1,0,0
"Double Helix Games,Rainbow Studios,THQ Nordic",2,0,8
DoubleBear Productions,0,0,3
DoubleDutch Games,16,21,46
Doublesix Games,0,0,1
Dovetail Games,10,5,18
Dragonfly,3,7,24
"Dragonfly GF Co., LTD",0,2,0
DreaMory,0,1,0
Dreadbit,1,0,0
Dream Reactor,0,1,0
Dreampainters,0,1,1
DrinkBox Studios,1,2,8
Drixy Games,0,0,1
Droqen,1,0,0
Dry Cactus,1,1,1
Ductape studio,2,1,0
Duelboot,0,0,1
"Dumativa Creative Studio,Castro Brothers",0,1,1
Dylan Fitterer,9,15,31
EA - Maxis,1,1,2
"EA - Maxis,Aspyr (Mac)",1,1,4
EA Black Box,0,1,0
EA Los Angeles,6,8,15
EA Redwood Shores,8,3,8
ES Team,0,0,1
ESTsoft Corp.,0,0,1
EVGA,1,0,0
EXE-CREATE,0,0,1
EXOR Studios,1,1,0
Eagle Dynamics SA,0,0,1
EasyAntiCheat Ltd,0,0,3
EasyGameStation,3,1,9
Eat Create Sleep,2,2,2
Ed Key and David Kanaga,2,2,6
Edelweiss,1,1,1
"Eden Games,Hydravision Entertainment",1,0,0
Eden Industries,1,1,3
Eden Studios,2,2,3
Edge Case Games Ltd.,9,3,19
Edge of Reality,66,90,214
Edmund McMillen and Florian Himsl,51,29,105
"Edmund McMillen, Florian Himsl",0,2,3
"Edmund McMillen,James Id",0,0,1
"Edmund McMillen,Tyler Glaiel",0,1,0
Eforb,2,3,4
Egamea Game Studios,0,0,2
Eggcode,0,0,4
Eggtooth Team,0,0,1
Egosoft,8,1,8
Eidos Interactive,1,0,0
"Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)",3,1,12
"Eidos Montreal,Feral Interactive (Mac)",5,5,18
Eidos Studio Hungary,1,1,2
"Eidos-Montréal,Feral Interactive (Mac)",6,9,12
EightyEightGames,4,1,2
Eko Software,7,10,19
Ekuator Games,0,0,1
ElagoTech,1,0,0
Elder Games,0,0,1
Elecorn,5,2,4
Electronic Arts,3,5,6
Eleon Game Studios,2,1,5
"Elias Viglione,Jussi Kukkonen",7,7,10
Elijah Newman-Gomez,5,2,11
Elite Games Team,0,0,1
Elixir Studios,1,0,2
Elliptic Games,0,0,3
Emmanuel Salva Cruz,0,0,2
Empires,0,1,1
Empty Clip Studios,1,1,0
Endgame Studios,0,0,1
Endless Loop Studios,1,1,1
Endlessfluff Games,0,0,2
Endnight Games Ltd,46,37,122
Ensemble Studios,5,8,27
EnsenaSoft,0,1,0
Entheogen Studios LLC,1,0,0
Entity Medialab,0,0,1
Entrada Interactive LLC,6,0,11
"Epic Games, Inc.",2,1,8
Epiphany Games,0,0,1
Eren Aydın,1,0,0
"Eric Chahi,DotEmu",0,0,1
"Eric Hartman,Ben Garney,Anthony Rotondo",6,3,10
Eric Provan - Ayyo Games,1,0,0
Erik Asmussen,2,1,7
"Erik Svedäng,El Huervo / Niklas Åkerblad,Tobias Sjögren,Oscar ""Ratvader"" Rydelius,Johannes Gotlén",0,0,1
Ethrea Dreams,0,0,1
Eugen Systems,13,7,24
Eurocom,1,0,0
Evan Todd,0,1,0
Everything Unlimited Ltd.,16,12,20
Evgenii Gubanov,1,0,0
"Evgeny Shcherbakov,Denis Ovsyannikov",0,0,1
Evil Tortilla Games,4,8,6
Evil Twin Artworks,1,0,1
ExDream GmbH,1,0,1
Exato Game Studios,0,0,1
Exato Games Studio,1,1,3
Excalibur,1,0,0
Exe Games Inc.,6,9,5
Exor Studios,0,2,1
"Expansive Worlds,Avalanche Studios",35,21,38
Extend Studio,0,1,2
Extrokold Games,0,0,1
Eyebrow Interactive,0,0,3
Eyedentity Games Inc.,2,2,17
Eyemobi Ltd.,0,0,2
Eyzi,6,5,11
FIVE-BN GAMES,0,1,1
"FIX Korea, Co.LTD,FIX Games, Co. LTD",39,31,57
FOAM Entertainment,0,0,1
FRENCH-BREAD,0,1,1
Fabio Ferrara,4,4,5
"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",16,3,21
"Fabio Ferrara,Giulia Airoldi",1,1,2
Facepunch Studios,547,551,1412
"Factor 5,LucasArts",0,0,1
Failbetter Games,2,0,4
Fallen Snow Studios,1,0,0
"Fancy Bytes, Reactor",0,0,1
Fancy Fish Games,1,0,0
FarSight Studios,0,1,3
Farsky Interactive,2,2,7
Fatshark,5,7,21
Fayju,0,0,2
Fermenter Games,0,0,1
Fervent,0,0,1
Fictiorama Studios,1,0,0
Fiddlesticks Games,0,0,1
"Filip Victor,Valve",0,2,2
Final Boss Entertainment,1,0,0
Final Form Games,0,0,3
"Finji,Kittehface Software",0,0,1
Firaxis Games,5,1,12
"Firaxis Games,Aspyr (Mac, Linux)",60,64,253
"Firaxis Games,Feral Interactive (Mac)",0,0,1
"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",25,15,69
"Firaxis,Feral Interactive (Mac and Linux)",1,0,2
"Firaxis,Feral Interactive (Mac),Feral Interactive (Linux)",6,8,25
FireFly Studios,12,7,25
Firebase Industries Ltd.,1,0,0
Firemint,0,0,1
Fireproof Games,1,1,1
Fishcow Studio,1,0,0
Fishing Cactus,0,0,1
Fishing Planet LLC,0,2,9
Fishlabs Entertainment GmbH,1,0,1
Fistful of Frags Team,25,43,61
Fixpoint Productions Ltd.,0,0,2
"Flashback Games,The Lordz Games Studio",0,0,1
Flox Studios Ltd.,0,0,1
Flump Studios,1,0,0
FlyAnvil,0,1,2
Flying Cafe for Semianimals,0,0,1
Flying Helmet Games,1,0,1
Flying Wild Hog,10,6,29
Flyleap Studios,0,1,1
Flyleap Studios Pty. Ltd.,0,0,4
Focus Home Interactive,2,3,1
Forbes Consult Ltd,0,0,1
Force Of Habit,0,0,1
Forever Entertainment S. A.,4,5,6
"Fortress Forever Development Team,Trepid Studios",2,0,1
Four Quarters,1,1,2
FourbitFriday,1,0,0
Fractal Phase,1,0,0
FreakZone Games,3,3,3
Freakinware Limited,1,1,0
Freakinware Studios,5,8,13
Fred Wood,1,1,2
"Free Games Info,hyperboreanGames",0,0,1
Free Lives,16,42,65
Free Reign Entertainment,8,8,10
Freebird Games,10,14,45
Freegamer,2,0,0
Freejam,76,61,207
FreezeNova,0,0,1
Fresh3D,0,0,1
Frictional Games,26,15,22
Frima Studio,0,0,1
Frogames,1,1,4
Frogdice,2,0,0
Frogshark,0,0,1
Frogsong Studios AB,1,0,0
Frogwares,2,0,9
FromSoftware,56,33,66
"FromSoftware, Inc",32,22,53
"FromSoftware, Inc.",16,11,32
Frontier Developments,0,0,1
"Frontier,Aspyr (Mac)",1,2,5
Frontwing,0,2,2
Frozenbyte,5,4,34
Fugazo,0,0,1
Full Control,1,0,1
Full Control Studios,2,0,4
FullPowerSideAttack.com,0,1,0
Fullbright,10,1,31
Fun Sponge Games,0,0,1
Funcom,3,2,8
"Funselektor Labs Inc.,FlippFly",1,1,5
Furiously Inactive Games,0,0,1
Futuremark,2,0,0
G-OLD,0,0,1
G-TraX,0,1,0
G2CREW,1,2,1
"GAME ARTS Co., Ltd.,SkyBox Labs",0,0,1
GDT Limited,0,0,1
GNISoft,0,1,0
GSC Game World,2,6,19
GTGD,0,0,1
GabberGames.com,0,0,1
Gaijin Entertainment,1,1,4
Gaijin Entertainment Corporation,1,0,4
Gaijin Games,8,6,24
Galactic Cafe,24,16,63
GalaxyTrail,2,1,7
Gambrinous,0,0,1
Game Dev Castle,0,0,3
Game Distillery s.r.o.,0,0,1
Game Mechanics,2,1,1
Game in a Bottle,0,1,2
Game-Labs,1,1,3
GameArt Studio GmbH,0,0,2
"GameConnect,InterWave Studios",2,0,4
GameCrafterTeam,0,1,2
GameORE,2,3,2
GamePrix,0,1,2
GameUS Inc,0,0,1
GameUS Inc.,1,0,1
"Gamebryo,Virtual Playground",0,0,1
Gameguyz,1,0,1
Gamepires,0,0,3
"Games by Robert, LLC",0,0,1
Gaming Minds,0,0,1
Gaming Minds Studios,1,0,0
Gamious,0,0,1
Ganz,2,1,5
Gas Powered Games,7,3,28
"Gaslamp Games, Inc.",2,0,5
Gatling Goat Studios,0,0,1
"GearBox Software,Aspyr (Mac &amp; Linux)",0,1,0
Gearbox Software,16,17,48
"Gearbox Software,Aspyr (Mac &amp; Linux)",98,114,349
"Gearbox Software,Aspyr (Mac)",2,1,7
Geek Sloth Games,0,0,1
Genee Network,1,0,0
General Arcade,0,0,2
Genetix Studio,0,0,1
Geniaware Srl,1,0,0
"Geoff ""Zag"" Keene",0,0,1
Geoff Keighley,3,0,1
Ghost Town Games Ltd.,0,0,2
GhostShark,3,2,11
Giant Army,0,3,6
Giant Squid,0,1,3
Giants Software,3,9,24
Ginger Labs LLC,0,0,1
Gl33k,1,1,1
Glass Knuckle Games,0,0,2
GlyphX Games,1,0,0
Going Loud Studios,3,8,16
Goldhawk Interactive,0,0,2
GolemLabs,1,0,0
Gone North Games,4,2,11
Good Games,0,0,1
Gravity Interactive,3,1,3
"Gravity, Inc.",2,4,4
"Gravvit Ltd,Forbes  Consult Ltd",0,1,1
Gray Matter Studios,0,2,1
Great War Team,0,1,4
Green Lava Studios,0,2,6
Greenheart Games,23,7,58
Gremlin Interactive,1,0,1
Grey Alien Games,0,0,2
Grey Havens,29,47,77
Grip Games,2,1,2
"Gromada,Buka Entertainment",0,0,1
Grynsoft,3,2,2
"Gunfire Games,Vigil Games,THQ Nordic",0,1,1
Guru Games,1,0,0
"HANBITSOFT, INC.,IMC GAMES CO.,LTD.",1,0,0
HE SAW,1,0,0
Haemimont Games,7,7,42
"Haemimont Games,Feral Interactive (Mac)",0,1,0
Halfbus,1,0,2
Halissoni,0,1,0
Halycon Media GmbH &amp; Co. KG,1,0,0
Hammer Labs,0,0,2
Hammerfall Publishing,0,0,5
Hanako Games,4,0,11
HandMade Game,1,0,0
Handyman Studios,6,1,4
Hardsuit Labs,32,30,89
Harebrained Schemes,3,0,13
Harvester Games,0,1,2
"Hassey Enterprises, Inc.",1,4,1
HeR Interactive,1,0,1
Headfirst Productions,0,0,1
Headup Games / Crenetic,1,0,1
Headup Games / Radon Labs,1,1,0
Heart Machine,2,2,4
Heartbit Interactive,0,0,1
Hellbent Games,1,0,1
Hello Games,91,30,58
Hello There AB,2,1,6
Hemisphere Games,1,0,1
"Henrique Pegacha,Rafael Lima,Nuno Guerreiro",1,0,0
Hesketh Studios,2,1,3
Hexage,0,0,2
Heydeck Games,2,0,1
Hi-Rez Studios,27,33,81
Hidden Path Entertainment,1,0,8
High Impact Games,0,0,1
Hinterland Studio Inc.,12,5,24
Hipix Studio,0,1,0
Hippomancer,0,0,1
Hitbox Team,1,1,4
Hitcents,1,3,3
Holotech Studios,2,1,11
Holy Priest,2,1,13
"Holy Warp,Black Wing Foundation",1,1,0
Home Net Games,0,1,0
Hoobalugalar_X,6,5,15
"Hopoo Games, LLC",16,23,78
