año,developer
2014,No More Room in Hell Team
2014,Square Enix
2014,Bossa Studios
2015,Dragonfly
2013,Hardsuit Labs
2015,Bohemia Interactive
2014,"Eric Hartman,Ben Garney,Anthony Rotondo"
2015,Treyarch
2015,Rebellion
2015,Capcom Vancouver
2015,Handyman Studios
2015,Code}{atch
2015,Mouldy Toof Studios
2014,Edge of Reality
2015,Hello Games
2014,Egosoft
2014,Crystal Dynamics
2014,Droqen
2013,Bossa Studios
2015,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2014,Sector3 Studios
2015,Turtle Rock Studios
2014,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2015,OVERDRIVE
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Valve
2013,Red Duck Inc.
2015,Reto-Moto
2015,Valve
2015,Bethesda Game Studios
2015,Bohemia Interactive
2015,Valve
2015,Ubisoft
2015,JetCat Games
2015,"Virtual Basement LLC,Code Headquarters LLC"
2015,Axolot Games
2015,Jagex Limited
2015,Reto-Moto
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,"Trek Industries, Inc"
2015,Bohemia Interactive
2015,Tripwire Interactive
2014,Valve
2015,Facepunch Studios
2014,Messhof
2014,Deep Silver Volition
2015,Hello Games
2015,Limbic Entertainment
2015,Facepunch Studios
2015,Wild Shadow Studios
2014,Cryptic Studios
2014,FireFly Studios
2015,Bohemia Interactive
2015,Brightrock Games
2015,ClickGames
2015,Treyarch
2014,Infinity Ward
2014,Cyanide Montreal
2014,Freejam
2015,Treyarch
2015,Reloaded Productions
2015,Valve
2015,Vertigo Gaming Inc.
2014,CodeBrush Games
2014,"Expansive Worlds,Avalanche Studios"
2013,Strategy First
2013,Ascaron Entertainment ltd.
2015,Valve
2011,Ubisoft Montpellier
2014,Tripwire Interactive
2015,Hello Games
2015,Hello Games
2015,Splash Damage
2015,TimeSymmetry
2014,Cherry Pop Games
2014,"Expansive Worlds,Avalanche Studios"
2014,No More Room in Hell Team
2015,DICE
2014,SEGA
2015,Splash Damage
2014,New World Interactive
2015,Nexon
2015,Jagex Limited
2015,Tripwire Interactive
2014,Electronic Arts
2015,"Milan Kazarka,Jeroen van Oosten"
2013,Centauri Production
2015,PiGravity
2015,Colonthree Enterprises
2013,Capcom
2015,Obsidian Entertainment
2014,HyperSloth
2014,David Szymanski
2014,Edge of Reality
2015,Crytek
2015,Ubisoft Montréal
2014,Valve
2015,Re-Logic
2015,"Dan  Walters,Ceri Williams"
2015,Facepunch Studios
2015,Square Enix
2014,Zachtronics
2015,Netcore Games
2015,Doctor Entertainment AB
2015,"Psyonix, Inc."
2014,Dovetail Games
2014,Bohemia Interactive
2015,Hello Games
2015,Hello Games
2015,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2015,Double Fine Productions
2015,Team17 Digital Ltd
2015,Valve
2014,Red Barrels
2015,Bohemia Interactive
2015,Valve
2015,Cybertime System
2013,Teotl Studios
2013,Andrii Vintsevych
2015,Sandswept Studios
2015,Volition
2014,United Independent Entertainment GmbH
2015,Wild Shadow Studios
2013,Mossmouth
2014,NEXON Korea Corp.
2015,"Bluehole, Inc."
2014,Infinity Ward
2015,Bohemia Interactive
2015,Hello Games
2015,Treyarch
2015,CoaguCo Industries
2015,SuperVillain Studios
2015,Torn Banner Studios
2015,Splash Damage
2015,Valve
2015,Hi-Rez Studios
2015,Obsidian Entertainment
2014,Infinity Ward
2015,Treyarch
2015,Valve
2015,Facepunch Studios
2013,Avalanche Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Ubisoft Montreal
2015,Baller Industries
2015,"Vlambeer,Croteam"
2014,Over The Moon
2015,FireFly Studios
2015,Ubisoft Montreal
2015,Lino Slahuschek
2015,WARTEAM
2015,3000AD
2014,"BioWare,Aspyr (Mac)"
2015,Freakinware Studios
2015,Chasing Carrots
2014,Sunlight Games
2015,Red Hook Studios
2015,Opus
2015,Square Enix
2014,Bohemia Interactive
2015,Number None
2014,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2014,Rockstar Games
2015,JDM4iK
2015,Valve
2015,SCS Software
2015,Obsidian Entertainment
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2014,Smartly Dressed Games
2015,Valve
2015,Facepunch Studios
2015,Facepunch Studios
2015,"Klei Entertainment,Capybara Games"
2015,Hello Games
2015,Splash Damage
2015,Valve
2015,Trion Worlds
2014,Hardsuit Labs
2015,Gearbox Software
2015,CI Games
2015,Facepunch Studios
2015,Smartly Dressed Games
2015,Exe Games Inc.
2014,Creative Assembly
2015,Tripwire Interactive
2014,Crytek
2015,MachineGames
2015,Orange_Juice
2015,Trion Worlds
2015,Ubisoft Montreal
2014,Phosphor Games Studio
2015,Sometimes You
2015,Eden Industries
2013,Infinity Ward
2014,Valve
2014,Smartly Dressed Games
2014,Ubisoft Toronto
2014,Hardsuit Labs
2014,Cryptic Studios
2015,Treyarch
2015,Turtle Rock Studios
2014,Lunar Giant
2013,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Bohemia Interactive
2015,Ubisoft
2015,Telltale Games
2014,Reto-Moto
2015,Valve
2015,FromSoftware
2015,Nabi Studios
2015,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Elecorn
2015,Electronic Arts
2015,ProjectorGames
2015,Bohemia Interactive
2014,Masthead Studios Ltd
2014,CodeBrush Games
2015,nFusion Interactive
2015,Crytek
2015,Bethesda Game Studios
2015,Bohemia Interactive
2015,Smashball Labs LLC
2015,Smartly Dressed Games
2015,Trion Worlds
2015,Valve
2015,Valve
2015,Hello Games
2014,Hardsuit Labs
2014,Smartly Dressed Games
2014,CD PROJEKT RED
2015,Treyarch
2015,Abraham Carreola
2015,Chucklefish
2015,DEADFACTORY
2014,Infinity Ward
2014,Facepunch Studios
2015,Valve
2015,Avalanche Studios
2015,Obsidian Entertainment
2015,Trion Worlds
2014,Ubisoft
2015,tobyfox
2015,Nexon
2015,XLGAMES
2015,Ion Storm
2015,Machine Games
2015,Maxis™
2015,Bankroll Studios
2015,Geniaware Srl
2014,Capcom
2015,Rockstar North
2014,Oovee® Game Studios
2015,Ubisoft
2014,Valve
2015,Reperio Studios
2014,The Behemoth
2015,Bohemia Interactive
2015,OVERKILL Software
2015,JForce Games
2015,"United Front Games,Feral Interactive (Mac)"
2015,Portalarium
2013,NIGORO
2014,Stridemann
2014,"FromSoftware, Inc"
2015,Valve
2015,Traveller's Tales
2015,Hello Games
2015,Creative Assembly
2014,Microblast Games
2015,Hardsuit Labs
2014,Crytek
2015,Vostok Games
2014,Actalogic
2015,Massive Entertainment
2015,IO Interactive
2014,Wild Games Studio
2015,Ubisoft
2015,marbenx
2015,Valve
2015,"Trion Worlds, Inc."
2015,Torn Banner Studios
2014,David OReilly
2014,Facepunch Studios
2015,Sector3 Studios
2014,Spiders
2015,Nexon
2015,Rhaon Entertainment
2015,Hello Games
2015,Valve
2015,StudioGIW
2015,Hello Games
2013,Bohemia Interactive
2014,Infinity Ward
2015,"Tequila Works, S.L."
2015,Rocksteady Studios
2015,Facepunch Studios
2015,Osumia Games
2015,Turtle Rock Studios
2015,Infinity Ward
2015,"NetherRealm Studios,High Voltage Software"
2015,Red Hook Studios
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Hello Games
2015,"343 Industries,Vanguard Games"
2014,"Trek Industries, Inc"
2015,Noio
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,KintoGames
2015,Hello Games
2015,Haemimont Games
2015,Valve
2015,Hello Games
2015,JDM4iK
2014,Sector3 Studios
2015,DoubleDutch Games
2015,"Expansive Worlds,Avalanche Studios"
2013,Phosphor Games Studio
2014,Arrowhead Game Studios
2014,Valve
2015,Exe Games Inc.
2014,Masthead Studios Ltd
2015,Hello Games
2014,JForce Games
2014,Wild Shadow Studios
2015,Smartly Dressed Games
2015,Tripwire Interactive
2015,"Eric Hartman,Ben Garney,Anthony Rotondo"
2014,Invent4 Entertainment
2015,Kinelco &amp; Lone Elk Creative
2015,Edge of Reality
2015,Fatshark
2015,Trion Worlds
2014,Hi-Rez Studios
2014,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2014,Ed Key and David Kanaga
2014,FromSoftware
2015,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Crowbar Collective
2015,Smartly Dressed Games
2015,Splash Damage
2015,Antonio Renna
2014,Bohemia Interactive
2014,Mad Otter Games
2015,Hi-Rez Studios
2015,"NetherRealm Studios,High Voltage Software"
2015,Funcom
2015,Treyarch
2015,Moment Studio
2014,Valve
2015,Facepunch Studios
2015,Hardsuit Labs
2015,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
2015,The Behemoth
2015,Beam Team Games
2015,Coffee Stain Studios
2015,Bugbear
2015,Valve
2015,Valve
2014,Valve
2015,Valve
2014,Curve Studios
2014,"Infinity Ward,Aspyr (Mac)"
2014,Gaijin Entertainment
2015,Code}{atch
2015,Scott Cawthon
2015,Red Duck Inc.
2015,Code}{atch
2015,storm_sharks
2014,Keen Games
2015,Sunlight Games
2015,Mouldy Toof Studios
2015,Dovetail Games
2014,Dovetail Games
2014,United Independent Entertainment GmbH
2015,Bohemia Interactive
2015,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2011,Valve
2015,Infinity Ward
2015,"BitMonster, Inc."
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Ascaron
2015,"FromSoftware, Inc"
2015,Freejam
2015,Hello Games
2015,Trion Worlds
2015,Valve
2015,Robotronic Games
2014,United Front Games
2014,Smartly Dressed Games
2014,"Trek Industries, Inc"
2014,Tate Multimedia
2013,Phosphor Games Studio
2015,Hello Games
2015,"M2H,Blackmill Games"
2015,WeMade
2014,Digital Leisure Inc.
2015,Eko Software
2015,Doctor Entertainment AB
2015,Turtle Rock Studios
2014,Facepunch Studios
2012,Volition
2015,Ubisoft Montreal
2015,tobyfox
2015,"Sledgehammer Games,Raven Software"
2015,Best Way
2015,Torn Banner Studios
2014,Actalogic
2015,SCS Software
2014,Cosmic Cow LLC
2014,Cryptic Studios
2015,Tripwire Interactive
2014,Eugen Systems
2014,Coffee Stain Studios
2013,Unknown Worlds Entertainment
2014,Frogwares
2015,Capcom Vancouver
2015,Freejam
2014,"Eidos-Montréal,Feral Interactive (Mac)"
2014,FromSoftware
2014,Uber Entertainment
2014,"Firaxis Games,Aspyr (Mac, Linux)"
2015,Rocksteady Studios
2015,Visual Concepts
2015,Nabi Studios
2015,Hello Games
2015,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2014,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2014,Net Games Laboratory
2015,Coffee Stain Studios
2014,800 North and Digital Ranch
2015,Beamdog
2015,Playsaurus
2015,Andrii Vintsevych
2013,No More Room in Hell Team
2014,FromSoftware
2014,Reto-Moto
2015,Bohemia Interactive
2014,Freejam
2015,ICE Entertainment
2013,Muse Games
2015,Facepunch Studios
2015,Hello Games
2015,Smartly Dressed Games
2014,Bohemia Interactive
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2014,Rebellion
2015,"NetherRealm Studios,High Voltage Software"
2015,Rocksteady Studios
2015,Splash Damage
2015,Paradox Development Studio
2015,CCCP
2015,Bohemia Interactive
2015,Invent4 Entertainment
2014,Radical Entertainment
2015,Robot Entertainment
2015,GameUS Inc.
2015,Transhuman Design
2015,Visual Concepts
2015,Valve
2015,Axolot Games
2015,Telltale Games
2014,The Chinese Room
2015,"Expansive Worlds,Avalanche Studios"
2015,Bohemia Interactive
2015,Valve
2014,Bohemia Interactive
2015,Awesome Games Studio
2015,Treyarch
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Lukewarm Media
2015,"FromSoftware, Inc."
2015,Harebrained Schemes
2015,Grey Havens
2015,Bohemia Interactive
2014,Facepunch Studios
2015,KITATUS STUDIOS
2015,The Chinese Room
2014,Coffee Stain Studios
2014,Vitali Kirpu
2015,Ensemble Studios
2015,Daybreak Game Company
2015,Bohemia Interactive
2015,Hello Games
2015,Blacklight Interactive
2015,"Roll7,General Arcade"
2015,"NetherRealm Studios,High Voltage Software"
2015,"LucasArts,Aspyr Studios"
2015,Bethesda Game Studios
2015,Daybreak Game Company
2015,"Ubisoft Paris,Red Storm Entertainment"
2014,Cosmic Cow LLC
2015,Hello Games
2015,Avalanche Studios
2014,FromSoftware
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Puny Human
2015,"IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)"
2015,Exe Games Inc.
2015,Reto-Moto
2015,Valve
2015,Daybreak Game Company
2015,Arkane Studios
2015,Game Mechanics
2015,Playsaurus
2015,Treyarch
2013,Chucklefish
2014,Smartly Dressed Games
2015,Treyarch
2014,Reality Pump
2014,1C: Maddox Games
2015,"Signal Studios,Smart Ghost"
2015,Hello Games
2015,Facepunch Studios
2014,Undead Labs
2014,Scott Cawthon
2015,No Brakes Games
2014,Torn Banner Studios
2015,Invent4 Entertainment
2014,Panzer Gaming Studios
2014,Electronic Arts
2015,Valve
2014,Codemasters Action Studio
2013,CodeBrush Games
2015,Imaekgames [Imaek Limited]
2015,Techland
2014,Bohemia Interactive
2015,Rockstar North
2014,Sherman3D
2015,Hello Games
2015,1C-Avalon
2014,Bohemia Interactive
2015,Two Tribes
2015,Hoobalugalar_X
2015,Ubisoft Montreal
2015,"Jagex,Artplant"
2015,Eugen Systems
2015,Blue Byte
2015,Trinoteam
2015,"Expansive Worlds,Avalanche Studios"
2015,Bohemia Interactive
2014,Wild Shadow Studios
2015,Code}{atch
2015,Infinity Ward
2015,Hello Games
2015,Valve
2015,Rubycone
2015,Flying Wild Hog
2014,Failbetter Games
2014,Bohemia Interactive
2014,Freejam
2015,Everything Unlimited Ltd.
2015,Hello Games
2014,Smartly Dressed Games
2015,EightyEightGames
2014,Black Lion Studios
2015,Code}{atch
2015,"Firaxis,Feral Interactive (Mac and Linux)"
2015,Techland
2014,Bohemia Interactive
2015,Bohemia Interactive
2015,Jimbob Games
2015,Valve
2015,Hello Games
2015,Chucklefish
2014,"Trek Industries, Inc"
2014,Rebellion
2014,The Sims Studio
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Crazy Moo Games
2014,Bohemia Interactive
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Paradox Development Studio
2014,Obsidian Entertainment
2015,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2014,Invent4 Entertainment
2015,Bugbear
2015,Nexon
2014,Somi
2015,Splash Damage
2015,Bethesda Game Studios
2015,Facepunch Studios
2015,Daybreak Game Company
2015,Starbreeze
2015,"Deep Silver Volition,High Voltage Software"
2015,Beam Team Games
2013,Forever Entertainment S. A.
2014,Telltale Games
2012,Valve
2013,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,"Deep Silver Volition,High Voltage Software"
2015,"Infinity Ward,Aspyr (Mac)"
2015,Facepunch Studios
2013,Edmund McMillen and Florian Himsl
2014,Valve
2015,Treyarch
2015,Facepunch Studios
2015,CyberConnect2 Co. Ltd.
2015,"Sledgehammer Games,Raven Software"
2015,OVERKILL - a Starbreeze Studio.
2015,Might and Delight
2015,Rebellion
2015,Rockstar North
2015,Tom De Roeck
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Torn Banner Studios
2015,Valve
2015,Sluggerfly
2015,"TT Games Ltd,Feral Interactive (Mac)"
2015,Valve
2014,Demiurge Studios
2014,Valve
2015,Machine Games
2015,Hello Games
2015,"Codemasters,Feral Interactive (Linux)"
2014,United Independent Entertainment GmbH
2015,Smartly Dressed Games
2015,Pandemic Studios
2015,Paradox Development Studio
2015,"Circle Five Studios,Pub Games"
2015,WARTEAM
2013,Valve
2015,Rockstar North
2014,Fishlabs Entertainment GmbH
2014,"WB Games Montreal,Splash Damage"
2014,Coffee Stain Studios
2015,Masthead Studios Ltd
2014,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2014,Bohemia Interactive
2015,Hello Games
2015,Avalanche Studios
2015,Aspyr Studios
2014,Invent4 Entertainment
2014,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2015,Rocksteady Studios
2014,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
2014,Facepunch Studios
2014,"Eidos-Montréal,Feral Interactive (Mac)"
2015,Evgenii Gubanov
2015,Splash Damage
2015,Hyper Hippo Games
2015,Creability
2015,"Creative Assembly, PC Port - Hardlight"
2014,Ubisoft
2014,8-Bit Studio
2014,Infinity Ward
2015,Valve
2015,Rockstar Games
2015,Valve
2015,Bohemia Interactive
2015,Reloaded Productions
2014,Team Psykskallar
2015,"2K Boston,2K Australia"
2015,Bossa Studios
2014,"Trion Worlds, Inc."
2013,Re-Logic
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,b-Alive
2014,Hardsuit Labs
2015,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios"
2015,Doctor Entertainment AB
2015,Ascension Entertainment LLC
2015,MEGAFUZZ
2015,Game Mechanics
2015,Sixteen Tons Entertainment
2014,Criterion Games
2015,Hello Games
2012,NeoCoreGames
2015,Tripwire Interactive
2015,Telltale Games
2015,Campo Santo
2015,Treyarch
2014,Coffee Stain Studios
2014,Valve
2015,Blue Byte
2015,Valve
2014,"Schine, GmbH"
2015,Frozenbyte
2014,Gaijin Games
2015,Fistful of Frags Team
2014,State of Play Games
2015,Bossa Studios
2015,Grey Havens
2015,WARTEAM
2015,Valve
2014,Crytek
2014,Sweet Dog Studios
2014,Nadeo
2014,Facepunch Studios
2015,"FromSoftware, Inc."
2014,"Expansive Worlds,Avalanche Studios"
2015,Hello Games
2015,"GameConnect,InterWave Studios"
2015,"Psyonix, Inc."
2015,Anothink
2015,"Autobotika,Game Nation Inc"
2015,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,"Gearbox Software,Aspyr (Mac)"
2015,HandMade Game
2015,Facepunch Studios
2015,Reto-Moto
2015,Ubisoft Montreal
2015,Valve
2015,Machine Games
2015,Playsaurus
2015,Free Lives
2015,Valve
2015,Torn Banner Studios
2015,The Behemoth
2015,"Elias Viglione,Jussi Kukkonen"
2014,Phosphor Games Studio
2013,Avalanche Studios
2015,Spark Plug Games
2015,Valve
2015,Smartly Dressed Games
2015,Io-Interactive A/S
2015,Artifex Mundi
2015,Zenimax Online Studios
2015,Kyle Seeley
2015,Kiddy
2015,Trion Worlds
2015,Bohemia Interactive
2015,"Psyonix, Inc."
2015,Hello Games
2014,"Nova Dimension,Naga Entertainment"
2015,Oovee® Game Studios
2015,Bethesda Game Studios
2015,Eforb
2015,Avalanche Software
2015,Telltale Games
2013,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2015,Turtle Rock Studios
2014,Freejam
2015,Bohemia Interactive
2015,X-Legend
2015,Vae Victis Games
2015,Facepunch Studios
2014,Poppermost Productions
2014,Shiro Games
2015,Team 6 Studios
2015,Haemimont Games
2015,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Ubisoft
2015,"Mario von Rickenbach,Michael Frei"
2015,FreakZone Games
2015,"FromSoftware, Inc."
2015,"NetherRealm Studios,High Voltage Software"
2015,"M2H,Blackmill Games"
2015,Hyper Hippo Games
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2015,Valve
2015,Bohemia Interactive
2015,City Interactive
2014,FromSoftware
2014,Genee Network
2015,Valve
2013,Eyedentity Games Inc.
2015,Rocksteady Studios
2015,Freejam
2015,Daybreak Game Company
2015,Elecorn
2014,Handyman Studios
2015,"Sledgehammer Games,Raven Software"
2015,Facepunch Studios
2015,Ubisoft Montreal
2015,Bohemia Interactive
2015,Nexon
2015,"Syrin Studios,Small Impact Games"
2015,"Double Helix Games,Capcom"
2015,Bohemia Interactive
2014,Meridian4
2014,"Creative Assembly, PC Port - Hardlight"
2014,Ubisoft
2014,DICE
2015,Room710Games
2015,Childish Things
2013,Team17 Digital Ltd
2013,"Monochrome, Inc"
2015,"IMCGAMES Co.,Ltd."
2015,Freejam
2015,Turtle Rock Studios
2015,"Elias Viglione,Jussi Kukkonen"
2015,Double Fine Productions
2015,Star Maid Games
2014,Valve
2015,Valve
2015,Tomasz Wacławek
2014,Valve
2015,Trendy Entertainment
2015,Trashmasters
2015,Shumkov Dmitriy
2015,Obsidian Entertainment
2015,Egosoft
2013,Kalypso Media Digital
2015,BurstRay Games
2015,"Fortress Forever Development Team,Trepid Studios"
2015,"Jetdogs Studios,Zoom Out Games"
2015,Ubisoft
2015,Hello Games
2014,Edge of Reality
2015,Massive Entertainment
2015,Valve
2015,Coffee Stain Studios
2014,"Trek Industries, Inc"
2013,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Facepunch Studios
2014,Daedalic Entertainment
2014,Frogdice
2014,Gl33k
2015,tobyfox
2015,Turtle Rock Studios
2014,Orion Games
2015,Wild Shadow Studios
2015,Valve
2015,Bohemia Interactive
2015,Entrada Interactive LLC
2015,Valve
2015,Digital Extremes
2015,Twice Circled
2015,Paradox Development Studio
2015,tobyfox
2014,Arrowhead Game Studios
2014,Double Fine Productions
2014,Coffee Stain Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Bohemia Interactive
2014,Cryptic Studios
2015,Telltale Games
2015,Holotech Studios
2014,Meridian4
2015,Halfbus
2015,Racing Bros
2015,Valve
2014,Rockstar Games
2014,Creative Assembly
2013,Valve
2015,Telltale Games
2015,Square Enix
2015,Valve
2014,Smartly Dressed Games
2013,Valve
2015,Treyarch
2014,Capcom Game Studio Vancouver
2013,Bohemia Interactive
2015,"Jagex,Artplant"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Wild Shadow Studios
2014,Valve
2015,Valve
2015,Reto-Moto
2015,"Rocketeer Games Studio, LLC"
2014,Nexon
2015,"Atari, Cubed Productions LLC"
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Digital Extremes
2015,"Trek Industries, Inc"
2015,"IMCGAMES Co.,Ltd."
2015,"Sledgehammer Games,Raven Software"
2014,DICE
2015,Telltale Games
2015,Visual Concepts
2015,Awesome Games Studio
2015,Full Control
2015,Ubisoft Montreal
2014,"The Quinnspiracy,Patrick Lindsey,Isaac Schankler"
2015,Smartly Dressed Games
2015,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Robotronic Games
2014,"Trion Worlds, Inc."
2015,Bitbox Ltd.
2015,"NetherRealm Studios,High Voltage Software"
2015,Valve
2014,Bohemia Interactive
2015,Volition
2015,Reloaded Productions
2015,Trion Worlds
2015,Hello Games
2015,Poppermost Productions
2014,Bohemia Interactive
